op,dec,hex,count,percent
MISSING, 76,0x4c,      5,0.00%
SWAP16,159,0x9f,      5,0.00%
MISSING,195,0xc3,      5,0.00%
MISSING, 38,0x26,      4,0.00%
MISSING,191,0xbf,      4,0.00%
MISSING,236,0xec,      4,0.00%
MISSING, 41,0x29,      3,0.00%
MISSING, 43,0x2b,      3,0.00%
MISSING, 75,0x4b,      3,0.00%
MISSING, 44,0x2c,      2,0.00%
MISSING, 73,0x49,      2,0.00%
PC, 88,0x58,      2,0.00%
MISSING,206,0xce,      1,0.00%
MISSING,217,0xd9,      1,0.00%
MISSING,225,0xe1,      1,0.00%
SMOD,  7,0x07,      0,0.00%
MISSING, 12,0x0c,      0,0.00%
MISSING, 13,0x0d,      0,0.00%
MISSING, 14,0x0e,      0,0.00%
MISSING, 15,0x0f,      0,0.00%
SAR, 29,0x1d,      0,0.00%
MISSING, 30,0x1e,      0,0.00%
MISSING, 31,0x1f,      0,0.00%
MISSING, 33,0x21,      0,0.00%
MISSING, 34,0x22,      0,0.00%
MISSING, 36,0x24,      0,0.00%
MISSING, 37,0x25,      0,0.00%
MISSING, 45,0x2d,      0,0.00%
EXTCODECOPY, 60,0x3c,      0,0.00%
MISSING, 72,0x48,      0,0.00%
MISSING, 74,0x4a,      0,0.00%
MISSING, 92,0x5c,      0,0.00%
MISSING, 93,0x5d,      0,0.00%
MISSING, 94,0x5e,      0,0.00%
PUSH30,125,0x7d,      0,0.00%
LOG0,160,0xa0,      0,0.00%
MISSING,165,0xa5,      0,0.00%
MISSING,166,0xa6,      0,0.00%
MISSING,167,0xa7,      0,0.00%
MISSING,168,0xa8,      0,0.00%
MISSING,169,0xa9,      0,0.00%
MISSING,170,0xaa,      0,0.00%
MISSING,171,0xab,      0,0.00%
MISSING,172,0xac,      0,0.00%
MISSING,174,0xae,      0,0.00%
MISSING,175,0xaf,      0,0.00%
MISSING,176,0xb0,      0,0.00%
MISSING,177,0xb1,      0,0.00%
MISSING,178,0xb2,      0,0.00%
MISSING,180,0xb4,      0,0.00%
MISSING,181,0xb5,      0,0.00%
MISSING,182,0xb6,      0,0.00%
MISSING,183,0xb7,      0,0.00%
MISSING,184,0xb8,      0,0.00%
MISSING,185,0xb9,      0,0.00%
MISSING,186,0xba,      0,0.00%
MISSING,187,0xbb,      0,0.00%
MISSING,188,0xbc,      0,0.00%
MISSING,189,0xbd,      0,0.00%
MISSING,190,0xbe,      0,0.00%
MISSING,192,0xc0,      0,0.00%
MISSING,193,0xc1,      0,0.00%
MISSING,194,0xc2,      0,0.00%
MISSING,196,0xc4,      0,0.00%
MISSING,197,0xc5,      0,0.00%
MISSING,198,0xc6,      0,0.00%
MISSING,199,0xc7,      0,0.00%
MISSING,201,0xc9,      0,0.00%
MISSING,202,0xca,      0,0.00%
MISSING,203,0xcb,      0,0.00%
MISSING,204,0xcc,      0,0.00%
MISSING,205,0xcd,      0,0.00%
MISSING,207,0xcf,      0,0.00%
MISSING,208,0xd0,      0,0.00%
MISSING,209,0xd1,      0,0.00%
MISSING,210,0xd2,      0,0.00%
MISSING,211,0xd3,      0,0.00%
MISSING,212,0xd4,      0,0.00%
MISSING,213,0xd5,      0,0.00%
MISSING,214,0xd6,      0,0.00%
MISSING,215,0xd7,      0,0.00%
MISSING,216,0xd8,      0,0.00%
MISSING,218,0xda,      0,0.00%
MISSING,219,0xdb,      0,0.00%
MISSING,220,0xdc,      0,0.00%
MISSING,222,0xde,      0,0.00%
MISSING,223,0xdf,      0,0.00%
MISSING,224,0xe0,      0,0.00%
MISSING,227,0xe3,      0,0.00%
MISSING,228,0xe4,      0,0.00%
MISSING,229,0xe5,      0,0.00%
MISSING,230,0xe6,      0,0.00%
MISSING,231,0xe7,      0,0.00%
MISSING,232,0xe8,      0,0.00%
MISSING,233,0xe9,      0,0.00%
MISSING,234,0xea,      0,0.00%
MISSING,235,0xeb,      0,0.00%
MISSING,237,0xed,      0,0.00%
MISSING,238,0xee,      0,0.00%
MISSING,246,0xf6,      0,0.00%
MISSING,247,0xf7,      0,0.00%
MISSING,248,0xf8,      0,0.00%
MISSING,249,0xf9,      0,0.00%
MISSING,251,0xfb,      0,0.00%
MISSING,252,0xfc,      0,0.00%
